exp_id,experiment_name,CB,DCB,TOL,annealing_temperature,sheet_resistance
660858dddc56149493ba3d7e,Spring24_SolvTemp_JPM_1,0,0,100,30,26841
66085f3c82f78f6f268541f3,Spring24_SolvTemp_JPM_2,0,100,0,30,180090
660861c681d775fd84048281,Spring24_SolvTemp_JPM_3,100,0,0,30,50400
660864188342d8f8565f210a,Spring24_SolvTemp_JPM_4,20,50,30,30,68889.99999
6608651d8342d8f8567debaa,Spring24_SolvTemp_JPM_5,60,10,30,30,58200
6608663cdc561494935b873d,Spring24_SolvTemp_JPM_6,50,30,20,60,15281
6608670fdc561494937564a5,Spring24_SolvTemp_JPM_7,20,20,60,60,30267.99999
660867c78342d8f856c2a083,Spring24_SolvTemp_JPM_8,30,30,40,60,37749.99999
6608688c5003d64741483d66,Spring24_SolvTemp_JPM_9,20,40,40,90,21751
6608697394e011fc192d23e9,Spring24_SolvTemp_JPM_10,0,50,50,90,22972
66086a7754a36d6df38c34a2,Spring24_SolvTemp_JPM_11,60,10,30,90,15761
66086b5bdc56149493dfcf5d,Spring24_SolvTemp_JPM_12,30,0,70,90,26587
66086c4194e011fc198295e0,Spring24_SolvTemp_JPM_13,60,20,20,180,42890.00001
66086f5882f78f6f266d085b,Spring24_SolvTemp_JPM_14,0,50,50,180,47229.99999
66087079aebabf93762570c5,Spring24_SolvTemp_JPM_15,50,50,0,210,96429.99999
660871a68342d8f856e86284,Spring24_SolvTemp_JPM_16,10,50,40,210,111780
660872ff5003d64741903693,Spring24_SolvTemp_JPM_17,0,30,70,120,18436
6608745582f78f6f26fe87b1,Spring24_SolvTemp_JPM_18,10,50,40,120,15338
660876568342d8f856726fda,Spring24_SolvTemp_JPM_19,40,20,40,120,13329
66087789dc561494934f7069,Spring24_SolvTemp_JPM_20,20,60,20,120,16293
660878a05003d64741287f99,Spring24_SolvTemp_JPM_21,10,90,0,150,22678
660879a55003d647414ab371,Spring24_SolvTemp_JPM_22,40,30,30,150,13500
66087a9a82f78f6f26afd268,Spring24_SolvTemp_JPM_23,10,40,50,150,13534
66087ba881d775fd841e4e90,Spring24_SolvTemp_JPM_24,30,20,50,150,12174
66087e36dc56149493176624,Spring24_SolvTemp_JPM_25,20,30,50,240,55170
66087f408342d8f85680613b,Spring24_SolvTemp_JPM_26,60,0,40,240,49490.00001
6608804682f78f6f264a3c71,Spring24_SolvTemp_JPM_27,80,10,10,240,41600.00001
6608815e82f78f6f266c8067,Spring24_SolvTemp_JPM_28,60,40,0,240,45900
660885fd5003d64741d09fb0,Spring24_SolvTemp_JPM_29,30,40,30,270,112670
660887528342d8f85671035b,Spring24_SolvTemp_JPM_30,100,0,0,270,47049.99999
660888beaebabf9376ea6f57,Spring24_SolvTemp_JPM_31,0,0,100,270,41310
66088b035003d647416d9579,Spring24_SolvTemp_JPM_32,0,100,0,270,89259.99999
